measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Esophageal cancer,Number,2015,467148.3809043323,506901.394841187,428426.517489331
Deaths,Global,Both,All ages,Stomach cancer,Number,2015,897155.7534246845,977076.9497638819,779279.1719331276
Deaths,Global,Both,All ages,Liver cancer,Number,2015,440660.23837254767,471512.7251966713,412238.2520406903
Deaths,Global,Both,All ages,Larynx cancer,Number,2015,106006.39225897736,111841.55597669829,100386.96082630055
Deaths,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2015,1783755.6129060972,1886263.1463472655,1670148.1680127173
Deaths,Global,Both,All ages,Neuroblastoma and other peripheral nervous cell tumors,Number,2017,5017.810816483045,5623.483370328036,4192.9861743896745
Deaths,Global,Both,All ages,Eye cancer,Number,2015,9970.931764008814,11604.006946518633,7865.079148920317
Deaths,Global,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2015,45039.98085214794,54897.868040295376,39623.63120304736
Deaths,Global,Both,All ages,Malignant neoplasm of bone and articular cartilage,Number,2015,59700.68498817089,65583.71672438885,47937.43259227435
Deaths,Global,Both,All ages,Breast cancer,Number,2013,554840.229849956,578342.1829338392,523396.89311903017
Deaths,Global,Both,All ages,Cervical cancer,Number,2013,258751.16614267463,275005.021613126,242248.53346730125
Deaths,Global,Both,All ages,Uterine cancer,Number,2013,78971.21090564072,85364.49550943276,70631.86182954184
Deaths,Global,Both,All ages,Prostate cancer,Number,2013,351242.3957010578,374589.5225284536,311829.8441628672
Deaths,Global,Both,All ages,Colon and rectum cancer,Number,2013,871165.3179562066,911649.2662449303,812888.7815310244
Deaths,Global,Both,All ages,Lip and oral cavity cancer,Number,2013,167105.22347828175,174406.48723835187,158509.26972501044
Deaths,Global,Both,All ages,Nasopharynx cancer,Number,2013,64986.69356092831,69210.2037337918,60962.685176376086
Deaths,Global,Both,All ages,Other pharynx cancer,Number,2013,76178.82798681903,80280.55293560142,71876.2063193539
Deaths,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2013,142579.11716522515,159705.43757176035,120914.8671114115
Deaths,Global,Both,All ages,Pancreatic cancer,Number,2013,399294.8901312913,417068.76030640205,373084.37092634186
Deaths,Global,Both,All ages,Malignant skin melanoma,Number,2013,57091.86108956723,60425.0070937842,51791.51501247015
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Number,2013,46467.67226443977,50361.82689529213,40050.15568226214
Deaths,Global,Both,All ages,Ovarian cancer,Number,2013,155645.3631424517,164848.73677503198,142377.90268318015
Deaths,Global,Both,All ages,Testicular cancer,Number,2013,9604.930237212897,9942.667114459764,9268.377270478959
Deaths,Global,Both,All ages,Kidney cancer,Number,2013,137197.32208994514,142369.61387420035,128943.65561140927
Deaths,Global,Both,All ages,Bladder cancer,Number,2013,184512.48524943917,198892.13393677113,170602.06977696274
Deaths,Global,Both,All ages,Brain and central nervous system cancer,Number,2013,220731.70152730707,249963.576370004,191827.71246957206
Deaths,Global,Both,All ages,Thyroid cancer,Number,2013,37330.547329918045,39991.12544644969,33303.97625448327
Deaths,Global,Both,All ages,Mesothelioma,Number,2013,27119.882537317626,28423.459587774905,25399.159220397487
Deaths,Global,Both,All ages,Hodgkin lymphoma,Number,2013,27531.936437158893,35080.93763321137,21041.787435576458
Deaths,Global,Both,All ages,Non-Hodgkin lymphoma,Number,2013,227685.98057477805,243864.79418807325,211494.5187244742
Deaths,Global,Both,All ages,Multiple myeloma,Number,2013,92477.98120787083,100227.25170626996,83468.46200468151
Deaths,Global,Both,All ages,Leukemia,Number,2013,296530.8776784823,323746.0412531245,262386.61043897923
Deaths,Global,Both,All ages,Eye cancer,Number,2013,9631.329963135195,11225.631373245293,7671.323285009677
Deaths,Global,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2013,42929.10613616145,52408.479453009066,37667.68599459702
Deaths,Global,Both,All ages,Malignant neoplasm of bone and articular cartilage,Number,2013,57072.14151060797,62610.97422962341,45709.23137901061
Deaths,Global,Both,All ages,Other malignant neoplasms,Number,2013,187587.81973993185,200501.18789814058,168613.092955284
Deaths,Global,Both,All ages,Other neoplasms,Number,2013,43379.002322608314,50096.28319467341,37866.98694838704
Deaths,Global,Both,All ages,Esophageal cancer,Number,2013,457698.4463434831,493594.39571459644,421943.40354768955
Deaths,Global,Both,All ages,Stomach cancer,Number,2013,894426.8690676873,989651.5869280339,785034.7400681733
Deaths,Global,Both,All ages,Liver cancer,Number,2013,413626.84158154664,439855.69697481074,389161.46829067875
Deaths,Global,Both,All ages,Breast cancer,Number,2015,584621.3613603533,612297.5538913363,546695.9650991976
Deaths,Global,Both,All ages,Cervical cancer,Number,2015,271388.903391837,288923.5707423882,252886.36686894964
Deaths,Global,Both,All ages,Uterine cancer,Number,2015,83044.68041092399,90103.5588511003,74910.77683581019
Deaths,Global,Both,All ages,Prostate cancer,Number,2015,372697.2456056643,397297.76357726677,331233.44132977474
Deaths,Global,Both,All ages,Colon and rectum cancer,Number,2015,912467.9129900889,959209.3405019684,850179.0955182551
Deaths,Global,Both,All ages,Lip and oral cavity cancer,Number,2015,177855.47417669627,186602.91374632466,167050.00709331222
Deaths,Global,Both,All ages,Nasopharynx cancer,Number,2015,66960.77979006157,72111.41929578902,62335.550718234976
Deaths,Global,Both,All ages,Other pharynx cancer,Number,2015,82411.12404918294,86832.83335460554,77721.2796449064
Deaths,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2015,148955.51798480586,169183.0389873951,125718.50158442275
Deaths,Global,Both,All ages,Pancreatic cancer,Number,2015,424478.29783976433,445121.08570447087,393774.41840310517
Deaths,Global,Both,All ages,Malignant skin melanoma,Number,2015,58942.091171599546,62638.11058310691,53360.89980378385
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Number,2015,49635.26576514736,53937.85256577515,43168.1804953269
Deaths,Global,Both,All ages,Ovarian cancer,Number,2015,161287.43987983992,170208.38555872164,146601.68523695524
Deaths,Global,Both,All ages,Testicular cancer,Number,2015,10163.064147280653,10573.447670360538,9801.834292247464
Deaths,Global,Both,All ages,Kidney cancer,Number,2015,144008.6943670791,149638.1907824283,136069.7035477646
Deaths,Global,Both,All ages,Bladder cancer,Number,2015,194243.8382136864,209457.62716865446,178754.36635267595
Deaths,Global,Both,All ages,Brain and central nervous system cancer,Number,2015,232162.88464353973,263174.14422656177,202294.71816171682
Deaths,Global,Both,All ages,Thyroid cancer,Number,2015,39114.2389637546,41922.85324296798,34980.70614440223
Deaths,Global,Both,All ages,Mesothelioma,Number,2015,27857.05051270169,29319.293306103136,25949.04539309517
Deaths,Global,Both,All ages,Hodgkin lymphoma,Number,2015,27791.844850362428,35440.406647659736,20781.10105174019
