"","measure","country_gbd","sex","age","cause","metric","year","dalys","upper","lower","country_std"
"1","DALYs (Disability-Adjusted Life Years)","Argentina","Both","All ages","Neoplasms","Number",2023,2009379.53641413,2092429.85430435,1910010.71828812,"Argentina"
"2","DALYs (Disability-Adjusted Life Years)","Grenada","Both","All ages","Neoplasms","Number",2023,5078.13242690232,5571.96621523958,4640.93082372182,"Grenada"
"3","DALYs (Disability-Adjusted Life Years)","Belarus","Both","All ages","Neoplasms","Number",2023,554917.73492008,587781.059603961,528471.675847234,"Belarus"
"4","DALYs (Disability-Adjusted Life Years)","Iceland","Both","All ages","Neoplasms","Number",2023,17374.230011263,18515.1553624984,16318.4008701607,"Iceland"
"5","DALYs (Disability-Adjusted Life Years)","Jamaica","Both","All ages","Neoplasms","Number",2023,118834.177497103,129240.609512087,109002.889366394,"Jamaica"
"6","DALYs (Disability-Adjusted Life Years)","Algeria","Both","All ages","Neoplasms","Number",2023,793378.729780105,958166.566717634,638147.158448232,"Algeria"
"7","DALYs (Disability-Adjusted Life Years)","Jordan","Both","All ages","Neoplasms","Number",2023,247610.709297052,270602.891104106,225555.926372826,"Jordan"
"8","DALYs (Disability-Adjusted Life Years)","Yemen","Both","All ages","Neoplasms","Number",2023,438341.438097209,542986.780449241,335784.304437638,"Yemen"
"9","DALYs (Disability-Adjusted Life Years)","Seychelles","Both","All ages","Neoplasms","Number",2023,5022.79161465397,5431.0115250926,4654.87762844823,"Seychelles"
"10","DALYs (Disability-Adjusted Life Years)","Armenia","Both","All ages","Neoplasms","Number",2023,113501.501249246,120486.392547304,105481.309871734,"Armenia"
"11","DALYs (Disability-Adjusted Life Years)","Uruguay","Both","All ages","Neoplasms","Number",2023,235550.099289943,243645.991364634,222623.897462544,"Uruguay"
"12","DALYs (Disability-Adjusted Life Years)","Haiti","Both","All ages","Neoplasms","Number",2023,405969.968823151,469825.365778349,350361.016070892,"Haiti"
"13","DALYs (Disability-Adjusted Life Years)","Guatemala","Both","All ages","Neoplasms","Number",2023,333533.680946549,359212.184885883,309464.260124195,"Guatemala"
"14","DALYs (Disability-Adjusted Life Years)","Zimbabwe","Both","All ages","Neoplasms","Number",2023,278459.692401426,332946.561017529,237415.525859401,"Zimbabwe"
"15","DALYs (Disability-Adjusted Life Years)","Angola","Both","All ages","Neoplasms","Number",2023,752284.241369914,878397.086544261,620902.317387877,"Angola"
"16","DALYs (Disability-Adjusted Life Years)","Italy","Both","All ages","Neoplasms","Number",2023,3670937.71551852,3870802.773509,3354207.60189016,"Italy"
"17","DALYs (Disability-Adjusted Life Years)","Croatia","Both","All ages","Neoplasms","Number",2023,283195.735223345,294906.410782839,268954.288967103,"Croatia"
"18","DALYs (Disability-Adjusted Life Years)","Maldives","Both","All ages","Neoplasms","Number",2023,6780.57965277106,7412.24992104287,6162.78744276656,"Maldives"
"19","DALYs (Disability-Adjusted Life Years)","Myanmar","Both","All ages","Neoplasms","Number",2023,1782504.48134401,2037114.37259127,1561241.96847922,"Myanmar"
"20","DALYs (Disability-Adjusted Life Years)","China","Both","All ages","Neoplasms","Number",2023,63756091.1108632,71060224.4854739,56734302.1888356,"China"
"21","DALYs (Disability-Adjusted Life Years)","Mali","Both","All ages","Neoplasms","Number",2023,556999.881128228,636011.593000701,484118.716234398,"Mali"
"22","DALYs (Disability-Adjusted Life Years)","New Zealand","Both","All ages","Neoplasms","Number",2023,259531.382200333,272075.790654279,242571.818997387,"New Zealand"
"23","DALYs (Disability-Adjusted Life Years)","Central African Republic","Both","All ages","Neoplasms","Number",2023,125755.22482928,154690.263103642,94814.7761922784,"Central African Republic"
"24","DALYs (Disability-Adjusted Life Years)","Malawi","Both","All ages","Neoplasms","Number",2023,721351.089391259,881857.284494487,580392.217004379,"Malawi"
"25","DALYs (Disability-Adjusted Life Years)","Nauru","Both","All ages","Neoplasms","Number",2023,552.676986599079,665.048191242926,467.29216220472,"Nauru"
"26","DALYs (Disability-Adjusted Life Years)","Senegal","Both","All ages","Neoplasms","Number",2023,301567.672417437,347650.043694278,259106.41326205,"Senegal"
"27","DALYs (Disability-Adjusted Life Years)","Canada","Both","All ages","Neoplasms","Number",2023,2045640.18228512,2141818.33465129,1914518.56382718,"Canada"
"28","DALYs (Disability-Adjusted Life Years)","Dominican Republic","Both","All ages","Neoplasms","Number",2023,333275.41789634,360694.183311361,298024.462890142,"Dominican Republic"
"29","DALYs (Disability-Adjusted Life Years)","Tunisia","Both","All ages","Neoplasms","Number",2023,481042.439181868,524099.842140565,436516.269936969,"Tunisia"
"30","DALYs (Disability-Adjusted Life Years)","Solomon Islands","Both","All ages","Neoplasms","Number",2023,27289.9269701508,31117.9727148814,23480.6343589123,"Solomon Islands"
"31","DALYs (Disability-Adjusted Life Years)","Colombia","Both","All ages","Neoplasms","Number",2023,1387456.70836196,1431767.81014243,1333909.22107052,"Colombia"
"32","DALYs (Disability-Adjusted Life Years)","Chile","Both","All ages","Neoplasms","Number",2023,734680.551109274,761105.510355784,693152.615479519,"Chile"
"33","DALYs (Disability-Adjusted Life Years)","Madagascar","Both","All ages","Neoplasms","Number",2023,946281.502387983,1066541.54060185,840269.25450332,"Madagascar"
"34","DALYs (Disability-Adjusted Life Years)","Austria","Both","All ages","Neoplasms","Number",2023,496635.846928885,517211.475262575,462160.288701366,"Austria"
"35","DALYs (Disability-Adjusted Life Years)","Eswatini","Both","All ages","Neoplasms","Number",2023,39722.1769967987,52950.4410735255,29322.7177575402,"Eswatini"
